corruption,./results/mnist/May25_0239_cnn_aug_run1/best_epoch22_0.9708.pt,./results/mnist/May25_0251_cnn_aug_run2/best_epoch33_0.9718.pt,./results/mnist/May25_0306_cnn_aug_run3/best_epoch34_0.9711.pt,./results/mnist/May25_0321_cnn_aug_run4/best_epoch17_0.9709.pt,./results/mnist/May25_0331_cnn_aug_run5/best_epoch23_0.9720.pt
identity,98.89999628067017,98.92999529838562,98.91999959945679,98.90999794006348,98.83999824523926
shot_noise,94.26999688148499,91.6700005531311,92.20999479293823,92.47999787330627,93.2699978351593
impulse_noise,48.330000042915344,54.1700005531311,53.94999980926514,44.56000030040741,56.58000111579895
glass_blur,79.749995470047,64.14999961853027,60.499995946884155,70.8799958229065,65.50999879837036
motion_blur,85.92999577522278,92.89999604225159,88.40999603271484,93.5699999332428,88.85999917984009
shear,98.06999564170837,98.20999503135681,98.10999631881714,98.07999730110168,98.22999835014343
scale,98.54999780654907,98.57999682426453,98.50999712944031,98.6799955368042,98.60000014305115
rotate,97.9699969291687,98.18999767303467,98.18999767303467,98.12999963760376,98.089998960495
brightness,24.049998819828033,18.50999891757965,16.96999967098236,34.630000591278076,15.42000025510788
translate,88.76000046730042,88.00999522209167,88.76000046730042,88.52999806404114,88.84999752044678
stripe,84.16000008583069,75.31999945640564,83.57999920845032,84.27000045776367,84.23999547958374
fog,25.830000638961792,14.8499995470047,10.78999936580658,30.43999969959259,10.839999467134476
spatter,96.75999879837036,93.81999969482422,94.8199987411499,96.30999565124512,94.93999481201172
dotted_line,94.78999972343445,94.07999515533447,95.27999758720398,93.10999512672424,94.73999738693237
zigzag,73.29999804496765,72.75999784469604,74.07000064849854,71.90999984741211,71.8999981880188
canny_edges,41.349998116493225,41.65999889373779,41.759997606277466,30.779999494552612,51.19999647140503
,76.92312309518456,74.73812289536,74.6768731623888,76.57937332987785,75.63187326304615
