corruption,./results/mnist/May29_2045_blur_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/May29_2056_blur_res4_run2/best_epoch32_acc1.0000.pt,./results/mnist/May29_2109_blur_res4_run3/best_epoch32_acc1.0000.pt,./results/mnist/May29_2121_blur_res4_run4/best_epoch30_acc1.0000.pt,./results/mnist/May29_2132_blur_res4_run5/best_epoch30_acc1.0000.pt
identity,99.5300042629242,99.41000521183014,99.57000374794006,99.49000418186188,99.40000474452972
shot_noise,98.47000479698181,98.51000428199768,98.69000375270844,98.89000415802002,98.30000519752502
impulse_noise,92.50000476837158,93.790003657341,95.71000456809998,96.16000473499298,92.82000482082367
glass_blur,93.5800039768219,94.82000529766083,94.27000403404236,95.08000493049622,92.3600035905838
motion_blur,97.08000481128693,96.55000627040863,96.72000527381897,97.08000421524048,95.30000507831573
shear,98.39000523090363,98.66000413894653,98.61000537872314,98.40000450611115,98.53000402450562
scale,96.51000499725342,97.00000464916229,96.89000368118286,96.09000444412231,96.84000432491302
rotate,94.5300042629242,94.49000537395477,94.90000486373901,94.70000445842743,94.46000397205353
brightness,85.02000331878662,91.3800048828125,60.37000298500062,46.340001821517944,89.33000445365906
translate,66.45000338554382,65.99000215530396,70.57000398635864,69.24000322818756,68.5200035572052
stripe,84.04000341892242,80.77000379562378,71.53000354766846,81.75000369548798,86.41000390052795
fog,52.310002148151405,58.21000188589096,25.74000135064125,31.690001487731934,66.05000257492065
spatter,98.24000418186188,97.9900050163269,98.63000452518463,98.42000424861908,98.0800050497055
dotted_line,97.35000491142273,98.08000445365906,97.33000457286835,97.51000463962555,97.73000538349152
zigzag,89.66000497341156,92.3600047826767,89.70000445842743,89.59000408649445,89.94000434875488
canny_edges,73.12000334262848,65.88000357151031,69.2900037765503,70.93000292778015,73.4300035238266
,88.54875417426229,88.99312933906913,84.90750403143466,85.08500386029482,89.84375428408384
