corruption,./results/mnist/Apr29_0212_clean_clr_run1/best_epoch174_acc0.9993.pt,./results/mnist/Apr29_0321_clean_clr_run2/best_epoch163_acc0.9993.pt,./results/mnist/Apr29_0427_clean_clr_run3/best_epoch186_acc0.9994.pt,./results/mnist/Apr29_0540_clean_clr_run4/best_epoch212_acc0.9995.pt,./results/mnist/Apr29_0703_clean_clr_run5/earlystop_245_acc0.9995.pt
identity,99.14000451564789,99.16000485420227,99.000004529953,99.19000387191772,99.09000515937805
shot_noise,93.35000514984131,94.18000400066376,94.000004529953,93.1300038099289,92.540003657341
impulse_noise,88.74000310897827,89.11000490188599,88.92000496387482,89.50000405311584,83.5200035572052
glass_blur,83.57000291347504,71.24000370502472,84.41000461578369,83.98000478744507,75.26000320911407
motion_blur,94.01000380516052,86.61000370979309,92.79000520706177,92.95000433921814,86.37000441551208
shear,97.61000454425812,97.61000394821167,97.73000478744507,97.64000415802002,97.66000390052795
scale,93.50000441074371,94.46000397205353,94.32000398635864,92.77000427246094,92.80000388622284
rotate,91.67000412940979,92.29000389575958,92.35000431537628,91.99000537395477,91.5300041437149
brightness,97.4500048160553,98.3700042963028,96.60000443458557,97.92000472545624,96.7100042104721
translate,51.570002138614655,52.94000267982483,51.40000313520432,51.23000234365463,52.49000221490861
stripe,78.50000262260437,70.95000326633453,75.52000522613525,89.73000407218933,62.480003833770745
fog,88.1300038099289,73.12000393867493,73.5200035572052,89.25000429153442,39.20000225305557
spatter,98.19000601768494,97.91000485420227,98.04000437259674,98.25000405311584,97.52000510692596
dotted_line,98.53000521659851,98.45000445842743,98.4300047159195,98.45000386238098,98.11000525951385
zigzag,95.66000401973724,95.34000396728516,95.75000464916229,95.55000483989716,94.99000430107117
canny_edges,57.100002765655525,58.34000289440156,62.380003333091736,58.23000192642211,60.39000272750854
,87.92000399902463,85.6300039589405,87.19750439748168,88.73500404879451,82.54125386476517
