corruption,./results/mnist/May25_0235_clean_aug_run1/best_epoch84_acc0.9662.pt,./results/mnist/May25_0323_clean_aug_run2/best_epoch83_acc0.9714.pt,./results/mnist/May25_0411_clean_aug_run3/best_epoch99_acc0.9713.pt,./results/mnist/May25_0506_clean_aug_run4/best_epoch81_acc0.9664.pt,./results/mnist/May25_0554_clean_aug_run5/best_epoch75_acc0.9713.pt
identity,97.85000383853912,98.32000494003296,98.2800042629242,98.06000351905823,98.29000294208527
shot_noise,89.28000450134277,90.06000399589539,90.30000448226929,90.33000409603119,89.41000461578369
impulse_noise,72.8100037574768,75.56000232696533,79.6500039100647,74.37000334262848,75.36000311374664
glass_blur,61.170002818107605,51.99000358581542,54.47000235319137,63.190003037452705,50.77000230550765
motion_blur,85.60000419616699,70.61000287532806,77.72000432014465,79.67000424861908,74.19000208377838
shear,97.11000502109528,97.52000510692596,97.48000502586365,97.17000365257263,97.30000376701355
scale,98.20000410079956,98.42000365257263,98.45000445842743,98.22000563144684,98.38000416755676
rotate,96.52000427246094,97.05000460147858,97.01000511646271,96.57000422477722,97.23000347614288
brightness,95.6300038099289,97.05000579357147,97.83000528812408,97.62000501155853,94.8900055885315
translate,84.32000458240509,86.66000425815582,86.46000385284424,85.51000356674194,86.41000390052795
stripe,42.89000242948532,34.24000144004822,25.600001513957977,37.54000186920166,25.20000129938126
fog,36.95000201463699,15.440000891685484,23.370001167058945,21.790000647306442,28.890001177787784
spatter,95.74000477790833,93.65000545978546,94.3800038099289,95.4300045967102,94.70000445842743
dotted_line,95.82000315189362,96.29000425338745,96.18000388145447,94.19000446796417,95.74000477790833
zigzag,84.07000362873077,84.87000346183777,83.72000515460968,83.24000418186188,83.81000399589539
canny_edges,44.600001871585846,35.40000140666962,51.700002551078796,36.500001549720764,50.31000256538392
,79.91000367328525,76.44562862813473,78.28750382177532,78.08750360272825,77.55500338971615
