corruption,run1,run2,run3,run4,run5
identity,98.890005,99.040003,98.960004,98.930004,99.000005
shot_noise,97.910005,97.880004,97.850006,97.950004,97.830004
impulse_noise,87.610005,86.590005,89.410005,84.750004,82.900003
glass_blur,88.600004,87.200004,89.420004,87.860004,87.760004
motion_blur,82.680004,85.450004,86.640004,84.900004,82.810004
shear,97.060004,97.230004,97.250006,97.110004,97.120005
scale,84.590004,88.030003,87.240004,84.460003,83.730004
rotate,91.080004,92.030005,91.500004,91.730003,91.610004
brightness,26.530001,43.010002,25.370001,23.680001,26.870002
translate,46.920003,48.320002,45.970002,49.170003,45.630002
stripe,42.220002,43.050002,35.330001,42.530002,31.400001
fog,20.790001,22.680001,21.470001,20.210001,21.550001
spatter,96.750005,96.790004,97.010005,96.330004,96.490004
dotted_line,96.550004,95.900005,95.770004,96.740005,96.210005
zigzag,84.640005,84.270004,83.110003,84.590004,83.120005
canny_edges,58.360003,59.480004,56.640004,61.230003,58.220003
