corruption,./results/mnist/May29_2049_cnn_res4_run1/best_epoch11_0.9999.pt,./results/mnist/May29_2103_cnn_res4_run2/best_epoch11_0.9999.pt,./results/mnist/May29_2117_cnn_res4_run3/best_epoch8_0.9999.pt,./results/mnist/May29_2130_cnn_res4_run4/best_epoch19_1.0000.pt,./results/mnist/May29_2148_cnn_res4_run5/best_epoch9_0.9999.pt
identity,99.11999702,99.24999475,99.26999807,99.18999672,99.24999475
shot_noise,98.48999977,98.50999713,98.60999584,98.56999516,98.33999872
impulse_noise,94.66999769,95.92999816,95.64999938,96.10999823,94.86999512
glass_blur,95.22999525,95.11999488,94.68999505,94.69999671,95.26000023
motion_blur,95.29999495,96.89999819,96.53999805,96.73999548,97.15999961
shear,98.04999828,98.01999927,98.09999466,98.0799973,98.149997
scale,95.56999803,95.55999637,94.88999844,95.03999949,95.72999477
rotate,92.86999702,92.9799974,93.1499958,92.83999801,92.71999598
brightness,45.31999826,57.40999579,56.08999729,48.29999804,53.04999948
translate,64.9699986,64.01000023,64.37999606,66.20999575,66.25999808
stripe,52.88000107,46.419999,51.8599987,47.94999957,55.22999763
fog,27.28999853,29.13999856,25.54999888,22.10000008,28.75999808
spatter,96.6999948,97.07999825,97.12999463,97.50999808,97.15999961
dotted_line,93.66999865,94.77999806,93.41999888,94.00999546,94.47000027
zigzag,88.26999664,89.13999796,87.05999851,88.95999789,87.5
canny_edges,66.92000031,64.56999779,64.45999742,67.48999953,66.61999822
