corruption,./results/mnist/Aug14_1023_fs_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1039_fs_res4_run2/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1051_fs_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_1102_fs_res4_run4/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1114_fs_res4_run5/best_epoch25_acc1.0000.pt
identity,99.44999814033508,99.43999648094177,99.42999482154846,99.44999814033508,99.35999512672424
shot_noise,98.12999963760376,97.64999747276306,98.3199954032898,98.3199954032898,96.2399959564209
impulse_noise,97.54999876022339,96.88999652862549,97.64999747276306,97.95999526977539,94.94999647140503
glass_blur,93.71999502182007,93.34999918937683,96.11999988555908,95.80999612808228,92.51999855041504
motion_blur,96.84999585151672,96.20999693870544,96.4199960231781,97.41999506950378,95.4099953174591
shear,98.42999577522278,98.36999773979187,98.46999645233154,98.42000007629395,98.15999865531921
scale,95.74999809265137,96.28999829292297,97.1299946308136,97.079998254776,96.68999910354614
rotate,94.20999884605408,94.37999725341797,94.40999627113342,94.3399965763092,93.95999908447266
brightness,98.9799976348877,99.3399977684021,98.57999682426453,99.24999475479126,99.02999997138977
translate,59.17999744415283,60.36999821662903,58.34999680519104,60.53000092506409,58.079999685287476
stripe,88.40999603271484,80.4099977016449,83.3899974822998,79.24000024795532,84.579998254776
fog,96.35999798774719,98.18999767303467,92.23999977111816,94.42999958992004,96.56999707221985
spatter,98.3199954032898,97.69999980926514,98.75999689102173,98.10999631881714,97.86999821662903
dotted_line,98.68999719619751,98.71999621391296,98.61999750137329,98.56999516487122,98.35999608039856
zigzag,92.739999294281,93.84999871253967,93.19999814033508,93.53999495506287,92.97999739646912
canny_edges,73.82999658584595,70.01000046730042,71.27000093460083,71.75999879837036,73.84999990463257
