corruption,./results/mnist/Aug14_0508_hsf_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_0525_hsf_res4_run2/best_epoch25_acc1.0000.pt,./results/mnist/Aug14_0540_hsf_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_0556_hsf_res4_run4/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0612_hsf_res4_run5/best_epoch28_acc1.0000.pt
identity,98.83999824523926,98.33999872207642,97.88999557495117,98.47999811172485,97.41999506950378
shot_noise,97.13999629020691,97.11999893188477,95.5299973487854,97.4299967288971,95.63999772071838
impulse_noise,93.09999942779541,95.27999758720398,93.66999864578247,95.169997215271,93.61000061035156
glass_blur,92.18999743461609,93.04999709129333,94.0999984741211,94.96999979019165,91.25999808311462
motion_blur,96.85999751091003,96.60999774932861,96.5499997138977,96.51999473571777,95.85999846458435
shear,97.7899968624115,97.70999550819397,98.15999865531921,98.30999970436096,97.39999771118164
scale,96.37999534606934,96.39999866485596,96.39999866485596,95.78999876976013,96.57999873161316
rotate,93.35999488830566,93.32999587059021,93.4399962425232,92.85999536514282,92.71999597549438
brightness,95.50999999046326,94.77999806404114,94.72000002861023,96.66999578475952,92.49999523162842
translate,63.83999586105347,63.77999782562256,60.920000076293945,61.149996519088745,62.11000084877014
stripe,89.48999643325806,85.87999939918518,91.63999557495117,84.61999893188477,84.00999903678894
fog,93.36999654769897,95.8299994468689,91.68999791145325,94.79999542236328,92.35000014305115
spatter,97.51999974250793,97.16999530792236,97.38999605178833,97.58999943733215,96.2399959564209
dotted_line,97.32999801635742,97.28999733924866,96.84000015258789,96.48000001907349,95.74999809265137
zigzag,89.37999606132507,90.2899980545044,90.18999934196472,90.52000045776367,89.67999815940857
canny_edges,75.01999735832214,69.59999799728394,74.1599977016449,72.09999561309814,73.89999628067017
