corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,99.37999844551086,99.42999482154846,99.48999881744385,99.3399977684021,99.40999746322632
shot_noise,97.65999913215637,97.64999747276306,97.74999618530273,97.9699969291687,97.06999659538269
impulse_noise,97.02999591827393,97.15999960899353,96.57999873161316,96.31999731063843,97.33999967575073
glass_blur,94.11999583244324,94.84999775886536,94.87999677658081,95.89999914169312,93.47999691963196
motion_blur,96.67999744415283,95.91999650001526,96.32999897003174,96.49999737739563,96.61999940872192
shear,98.21999669075012,98.53999614715576,98.36999773979187,98.27999472618103,98.3199954032898
scale,96.24999761581421,96.03999853134155,97.26999998092651,96.92999720573425,96.64999842643738
rotate,93.86999607086182,94.0999984741211,93.89999508857727,94.37999725341797,94.05999779701233
brightness,99.07999634742737,99.32999610900879,97.76999950408936,99.11999702453613,99.17999505996704
translate,58.45000147819519,58.35999846458435,58.12999606132507,58.05000066757202,59.16999578475952
stripe,89.95999693870544,66.21999740600586,84.46999788284302,84.34999585151672,84.34999585151672
fog,97.33999967575073,97.32999801635742,84.16999578475952,96.84999585151672,97.11999893188477
spatter,98.24000000953674,97.91999459266663,98.47999811172485,98.01999926567078,97.85999655723572
dotted_line,98.46999645233154,98.96000027656555,98.6299991607666,98.27999472618103,98.55999946594238
zigzag,92.91999936103821,94.74999904632568,92.83999800682068,92.76999831199646,92.40999817848206
canny_edges,73.65999817848206,69.9999988079071,70.80999612808228,72.35999703407288,72.49999642372131
