corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,0.9928999543190002,0.9937999844551086,0.9934999942779541,0.9928999543190002,0.9930999875068665
shot_noise,0.9675999879837036,0.9677000045776367,0.9705999493598938,0.973099946975708,0.9599999785423279
impulse_noise,0.9649999737739563,0.9697999954223633,0.9678999781608582,0.9624999761581421,0.9715999960899353
glass_blur,0.9311999678611755,0.9425999522209167,0.9408999681472778,0.953499972820282,0.9283999800682068
motion_blur,0.9573999643325806,0.9457999467849731,0.9553999900817871,0.9572999477386475,0.9571999907493591
shear,0.9779999852180481,0.9810999631881714,0.9802999496459961,0.9799000024795532,0.9800999760627747
scale,0.9574999809265137,0.9526000022888184,0.9686999917030334,0.9659000039100647,0.9605000019073486
rotate,0.9350999593734741,0.9353999495506287,0.9375999569892883,0.9409999847412109,0.9359999895095825
brightness,0.9916999936103821,0.9924999475479126,0.9914000034332275,0.9906999468803406,0.9916999936103821
translate,0.5378000140190125,0.5184999704360962,0.5263999700546265,0.527899980545044,0.5270999670028687
stripe,0.9181999564170837,0.765999972820282,0.8967999815940857,0.8800999522209167,0.8967999815940857
fog,0.9709999561309814,0.9715999960899353,0.8765999674797058,0.961899995803833,0.9638999700546265
spatter,0.9799000024795532,0.9740999937057495,0.9843999743461609,0.977899968624115,0.9753999710083008
dotted_line,0.9842000007629395,0.988099992275238,0.9870999455451965,0.983299970626831,0.9863999485969543
zigzag,0.939300000667572,0.9551999568939209,0.9443999528884888,0.9348999857902527,0.9366999864578247
canny_edges,0.7222999930381775,0.6926000118255615,0.6985999941825867,0.7193999886512756,0.7218999862670898
