corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,1.1812000274658203,1.1554999351501465,1.1789000034332275,1.1066999435424805,1.1693999767303467
shot_noise,1.3021999597549438,1.2307000160217285,1.2548999786376953,1.1618000268936157,1.2872999906539917
impulse_noise,1.7446999549865723,1.604200005531311,1.7330999374389648,1.6055999994277954,1.711300015449524
glass_blur,1.6425999402999878,1.5083999633789062,1.5496999025344849,1.3756999969482422,1.6053999662399292
motion_blur,1.583299994468689,1.6440999507904053,1.6108999252319336,1.4185999631881714,1.7114999294281006
shear,1.6644999980926514,1.5282999277114868,1.5800999402999878,1.3765000104904175,1.5293999910354614
scale,2.0048999786376953,2.2890000343322754,1.9912999868392944,1.6746000051498413,1.8528000116348267
rotate,1.8772999048233032,1.778999924659729,1.767199993133545,1.583899974822998,1.8191999197006226
brightness,2.205699920654297,2.2044999599456787,2.2553000450134277,2.130699872970581,2.232599973678589
translate,4.122999668121338,4.13569974899292,4.2079997062683105,3.4938998222351074,4.090099811553955
stripe,2.558300018310547,3.427799940109253,2.775599956512451,2.7338998317718506,2.7356998920440674
fog,2.1175999641418457,2.096299886703491,2.413800001144409,2.2132999897003174,2.101799964904785
spatter,1.3429999351501465,1.3791999816894531,1.3300999402999878,1.253600001335144,1.358199954032898
dotted_line,1.3976999521255493,1.3217999935150146,1.3686999082565308,1.2720999717712402,1.3632999658584595
zigzag,1.872399926185608,1.7264999151229858,1.8276000022888184,1.6607999801635742,1.8407999277114868
canny_edges,2.433300018310547,2.342900037765503,2.3069000244140625,2.1355998516082764,2.1482999324798584
