corruption,run1,run2,run3,run4,run5
identity,99.059999,99.079996,99.149996,99.159998,99.1
shot_noise,97.369999,97.099996,97.469997,97.329998,97.319996
impulse_noise,90.509999,91.81,92.85,91.259998,87.949997
glass_blur,90.139997,91.159999,90.129995,89.029998,90.41
motion_blur,90.389997,92.409998,94.409996,92.379999,91.189998
shear,97.039998,97.419995,97.169995,97.249997,97.389996
scale,93.299997,94.059998,94.119996,93.649995,93.779999
rotate,90.749997,91.889995,91.179997,91.329998,91.359997
brightness,83.419997,80.680001,87.689996,85.519999,80.329996
translate,46.3,48.109999,47.459999,46.899998,47.409999
stripe,95.15,95.94,95.429999,95.44,95.749998
fog,74.329996,74.299997,84.099996,72.99,78.939998
spatter,98.019999,98.149997,98.35,98.259997,98.159999
dotted_line,98.31,98.439997,98.429996,98.099995,98.319995
zigzag,90.069997,91.27,90.73,90.739995,89.249998
canny_edges,80.96,80.909997,81.939995,78.219998,82.239997
