corruption,./results/mnist/Aug14_1023_fs_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1039_fs_res4_run2/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1051_fs_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_1102_fs_res4_run4/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1114_fs_res4_run5/best_epoch25_acc1.0000.pt
identity,99.45000410079956,99.44000363349915,99.43000316619873,99.45000350475311,99.36000347137451
shot_noise,98.13000440597534,97.65000522136688,98.32000434398651,98.32000434398651,96.24000430107117
impulse_noise,97.55000531673431,96.8900054693222,97.65000522136688,97.960005402565,94.9500048160553
glass_blur,93.72000396251678,93.35000455379486,96.12000524997711,95.81000447273254,92.52000510692596
motion_blur,96.85000538825989,96.21000468730927,96.42000436782837,97.42000460624695,95.41000425815582
shear,98.4300047159195,98.3700042963028,98.47000360488892,98.42000484466553,98.16000401973724
scale,95.75000464916229,96.29000425338745,97.13000476360321,97.08000421524048,96.69000387191772
rotate,94.2100042104721,94.38000500202179,94.41000401973724,94.34000432491302,93.96000444889069
brightness,98.98000299930573,99.34000432491302,98.58000457286835,99.25000488758087,99.03000473976135
translate,59.18000221252442,60.37000358104706,58.35000276565552,60.530002117156975,58.080002665519714
stripe,88.41000378131866,80.41000425815582,83.39000403881073,79.24000322818756,84.58000361919403
fog,96.36000394821167,98.1900042295456,92.2400039434433,94.43000495433807,96.57000422477722
spatter,98.32000374794006,97.70000517368317,98.76000463962555,98.11000466346741,97.87000477313995
dotted_line,98.69000375270844,98.72000515460968,98.62000405788422,98.57000410556793,98.36000502109528
zigzag,92.74000465869904,93.8500040769577,93.20000469684601,93.54000449180603,92.98000454902649
canny_edges,73.83000373840332,70.0100028514862,71.27000331878662,71.76000356674194,73.8500040769577
