corruption,./results/mnist/Aug14_0508_hsf_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_0525_hsf_res4_run2/best_epoch25_acc1.0000.pt,./results/mnist/Aug14_0540_hsf_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_0556_hsf_res4_run4/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0612_hsf_res4_run5/best_epoch28_acc1.0000.pt
identity,99.48000371456146,99.41000461578369,99.52000439167023,99.39000427722931,99.46000456809998
shot_noise,98.74000370502472,98.53000521659851,98.47000420093536,98.59000444412231,98.03000450134277
impulse_noise,93.57000529766083,94.23000514507294,93.48000466823578,94.38000440597534,92.7200049161911
glass_blur,93.2800042629242,93.8500040769577,94.9800044298172,94.99000430107117,92.41000473499298
motion_blur,97.14000403881073,96.46000385284424,96.88000440597534,96.60000443458557,95.79000473022461
shear,98.59000563621521,98.41000437736511,98.63000512123108,98.7000048160553,98.61000418663025
scale,96.16000533103943,96.3800048828125,96.33000612258911,95.9900051355362,96.79000437259674
rotate,94.28000390529633,94.36000525951385,94.53000366687775,93.55000436306,94.3800038099289
brightness,90.26000380516052,89.14000570774078,69.82000350952148,77.70000338554382,83.12000393867493
translate,67.59000360965729,67.3900032043457,63.94000291824341,65.63000321388245,65.12000322341919
stripe,88.760005235672,85.84000408649445,87.85000503063202,86.57000422477722,80.44000327587128
fog,44.110002517700195,50.7500022649765,29.280000925064087,35.890001356601715,60.520004034042366
spatter,98.11000406742096,98.06000471115112,98.47000420093536,98.13000559806824,97.78000473976135
dotted_line,98.01000356674194,98.34000408649445,97.70000576972961,95.94000458717346,97.39000499248505
zigzag,88.84000480175018,89.5300042629242,90.89000463485718,89.88000452518463,89.58000421524048
canny_edges,76.21000349521637,70.03000319004059,74.25000369548798,71.80000305175781,73.3100038766861
