corruption,./results/mnist/Aug14_0805_lsf_conv_run5/best_epoch88_acc0.9988.pt,./results/mnist/Aug14_0740_lsf_conv_run4/best_epoch86_acc0.9982.pt,./results/mnist/Aug14_0721_lsf_conv_run3/best_epoch60_acc0.9987.pt,./results/mnist/Aug14_0658_lsf_conv_run2/best_epoch78_acc0.9987.pt,./results/mnist/Aug14_0635_lsf_conv_run1/best_epoch74_acc0.9981.pt
identity,99.07000422477722,98.99000465869904,99.08000469207764,99.08000469207764,99.04000401496887
shot_noise,91.13000452518463,92.38000392913818,92.8100037574768,93.48000466823578,91.36000394821167
impulse_noise,93.73000383377075,92.49000489711761,92.42000460624695,93.69000434875488,91.71000361442566
glass_blur,82.59000360965729,82.5700044631958,83.6400032043457,83.69000434875488,86.34000360965729
motion_blur,92.0600038766861,93.7900048494339,93.29000473022461,92.76000440120697,92.24000453948975
shear,97.73000538349152,97.4800032377243,97.68000364303589,97.6900041103363,97.37000405788422
scale,93.97000432014465,94.85000431537628,94.7100043296814,94.9500048160553,94.97000396251678
rotate,92.2400039434433,92.03000485897064,92.10000395774841,91.53000473976135,91.63000524044037
brightness,98.82000386714935,98.75000476837158,98.7000036239624,98.54000389575958,98.72000455856323
translate,47.090001702308655,46.14000201225281,47.75000214576721,46.0000017285347,45.7200026512146
stripe,84.12000358104706,69.43000257015228,83.27000379562378,81.58000349998474,82.40000307559967
fog,78.06000411510468,94.61000442504883,88.55000376701355,87.750004529953,93.29000473022461
spatter,98.24000477790833,98.3700042963028,98.24000358581543,98.25000464916229,98.3400046825409
dotted_line,98.50000441074371,98.45000505447388,98.53000521659851,98.56000423431396,98.51000428199768
zigzag,95.9600043296814,95.24000346660614,95.61000466346741,95.90000450611115,95.7800042629242
canny_edges,67.41000354290009,60.82000255584716,57.48000323772431,59.790003299713135,63.80000352859497
