corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,99.42000389099121,99.48000431060791,99.49000477790833,99.40000474452972,99.44000363349915
shot_noise,98.58000576496124,98.59000563621521,98.74000430107117,98.64000380039215,98.27000498771667
impulse_noise,94.39000487327576,95.61000525951385,93.33000421524048,94.2700046300888,94.47000563144684
glass_blur,94.14000511169434,94.97000396251678,94.19000446796417,95.53000569343567,93.05000364780426
motion_blur,97.08000421524048,96.0200047492981,96.04000508785248,96.82000458240509,96.57000482082367
shear,98.40000450611115,98.72000396251678,98.52000534534454,98.40000510215759,98.44000399112701
scale,96.33000433444977,96.10000491142273,97.41000533103943,96.99000537395477,96.74000561237335
rotate,94.11000490188599,94.20000433921814,94.2400050163269,94.45000410079956,94.33000445365906
brightness,86.89000427722931,90.77000498771667,40.70000231266022,75.47000348567963,86.05000436306
translate,68.51000249385834,68.56000304222107,67.42000341415405,67.90000319480896,68.94000291824341
stripe,82.14000403881073,67.91000366210938,81.33000433444977,82.55000352859497,82.82000422477722
fog,58.570003509521484,59.540003538131714,22.080000936985016,51.79000198841095,60.78000366687775
spatter,98.25000405311584,98.01000475883484,98.34000527858734,97.87000477313995,97.9600042104721
dotted_line,97.60000467300415,98.41000437736511,97.84000515937805,97.49000489711761,97.94000446796417
zigzag,88.66000473499298,92.02000379562378,89.65000331401825,89.23000454902649,88.6700040102005
canny_edges,75.97000360488892,69.02000308036804,72.13000357151031,73.12000393867493,72.74000406265259
