corruption,./results/mnist/Aug14_1023_fs_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1039_fs_res4_run2/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1051_fs_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_1102_fs_res4_run4/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1114_fs_res4_run5/best_epoch25_acc1.0000.pt
identity,1.025741578682755,1.0224255832662912,1.0191089208488384,1.029663147310206,1.021940418679549
shot_noise,1.0404565372465098,1.0648233486943164,1.0382424735557363,1.0422091131000815,1.0554862842892767
impulse_noise,1.244592516658124,1.3066363917844979,1.184536610343062,1.1779297672519395,1.3857819905213271
glass_blur,1.1509816474605208,1.2328869844670594,1.1233874323761963,1.1391295271892288,1.2185473411154344
motion_blur,1.1158492514197211,1.1730589335827877,1.1486206181290188,1.1106548963251899,1.194109632114034
shear,1.0903179924819668,1.1021652942970417,1.0806336955417895,1.1094289778500306,1.0846577017114913
scale,1.3107049608355092,1.4207082770796553,1.3321321939668485,1.3196332921302019,1.2315647947047264
rotate,1.175034497399427,1.2035388853570672,1.1844084313102425,1.2200551197795209,1.1784802043422733
brightness,1.7117599515053545,1.6338836319710086,2.0174477581659565,2.0152141057934507,1.8507522972836514
translate,2.002196688070294,2.0583071061785656,2.04541559554413,2.24301999008756,1.934400826446281
stripe,2.031218187987784,2.4355179704016914,2.144022064995803,2.256183745583039,2.117403641522819
fog,2.0951639684516397,2.050005092168245,2.1891803989592367,2.1876522291644602,2.0377964171067617
spatter,1.0727217249796583,1.103582395087001,1.0617658971243418,1.0826623178065438,1.0875651374271993
dotted_line,1.0883574830276623,1.0820502431118315,1.0871020077063476,1.1056102262351628,1.0861122407482717
zigzag,1.223743799870606,1.1990410229088972,1.21931330472103,1.2712208680778276,1.2219832221983222
canny_edges,1.8301503453880537,2.0421368375946294,1.4983864178476216,1.4895484949832776,1.5574813811780637
