corruption,./results/mnist/Aug14_0508_hsf_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_0525_hsf_res4_run2/best_epoch25_acc1.0000.pt,./results/mnist/Aug14_0540_hsf_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_0556_hsf_res4_run4/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0612_hsf_res4_run5/best_epoch28_acc1.0000.pt
identity,3.771954674220963,3.3992271710392514,3.6539993870671164,3.1292648253452477,3.5020529665366453
shot_noise,2.8126415482808316,2.0144151565074133,2.285564744059458,1.8869957918505593,2.097030531158511
impulse_noise,3.8302900107411384,3.32703610411419,3.3673534749653036,3.2334769360092466,3.3840401666488624
glass_blur,2.8767762230176808,2.2090274046211715,2.364718384697131,2.0797093819100767,2.293885601577909
motion_blur,3.0262234152384884,2.058482558741331,2.506162610046608,2.3455242436800665,2.2091591904861256
shear,2.0735249002965537,1.841367311431788,2.0321923390383048,1.835113416742956,1.926694045174538
scale,1.7889603652210002,1.4191908713692947,1.8729253112033195,1.381146257438146,1.417788361979706
rotate,3.1007926306769495,2.630772527590271,2.8894477739726026,2.4583243592504846,2.812230371009491
brightness,4.170453355669563,3.9920869381726103,4.1194045608108105,3.845453605048102,3.9553513513513514
translate,2.517857142857143,2.595014111006585,2.7245567957977674,2.7072771872444807,2.478022862663017
stripe,3.566990725220695,3.766767582673498,3.2130074203404626,3.73316000945403,3.4616117128913224
fog,4.276855521045303,3.9094229364499635,4.1240047987784925,3.9818565400843884,3.921277747698971
spatter,3.686833470057424,3.1744365544921274,3.4830064688366362,2.962906035454452,3.3248129675810474
dotted_line,3.8668447549573615,3.397882618974201,3.697026022304833,3.30804311774461,3.5289817232375977
zigzag,3.9534571492503914,3.595414774615129,3.6751302805189043,3.459456473707468,3.6280107047279215
canny_edges,2.2936550253265797,2.1538793103448275,2.0951995685005396,2.1055478502080445,2.0445196211096075
