corruption,./results/mnist/Aug14_0805_lsf_conv_run5/best_epoch88_acc0.9988.pt,./results/mnist/Aug14_0740_lsf_conv_run4/best_epoch86_acc0.9982.pt,./results/mnist/Aug14_0721_lsf_conv_run3/best_epoch60_acc0.9987.pt,./results/mnist/Aug14_0658_lsf_conv_run2/best_epoch78_acc0.9987.pt,./results/mnist/Aug14_0635_lsf_conv_run1/best_epoch74_acc0.9981.pt
identity,1.8951998949050903,1.945599913597107,1.9208999872207642,1.8468999862670898,1.9530999660491943
shot_noise,4.297800064086914,4.308399677276611,4.2530999183654785,4.268599987030029,4.308799743652344
impulse_noise,4.166800022125244,4.2957000732421875,4.174200057983398,4.168299674987793,4.2729997634887695
glass_blur,4.75,4.788399696350098,4.704599857330322,4.855199813842773,4.842799663543701
motion_blur,4.6798996925354,4.708199977874756,4.726900100708008,4.759200096130371,4.7851996421813965
shear,3.026899814605713,3.102599859237671,3.1815998554229736,3.075899839401245,3.107100009918213
scale,4.595399856567383,4.551199913024902,4.61899995803833,4.566299915313721,4.60890007019043
rotate,3.820199966430664,3.824199914932251,3.9189000129699707,3.816699981689453,3.8474998474121094
brightness,2.890899896621704,2.8611998558044434,2.8810999393463135,2.880199909210205,2.8655998706817627
translate,4.761399745941162,4.761600017547607,4.764899730682373,4.752099990844727,4.775300025939941
stripe,3.2121999263763428,3.568699836730957,3.1230998039245605,3.3557000160217285,3.388199806213379
fog,4.522900104522705,4.507400035858154,4.576900005340576,4.69819974899292,4.565399646759033
spatter,2.923099994659424,2.8652000427246094,2.9420998096466064,2.8726999759674072,2.900399923324585
dotted_line,2.7172000408172607,2.6875998973846436,2.6210999488830566,2.66729998588562,2.7089998722076416
zigzag,2.936499834060669,2.9896998405456543,2.921099901199341,2.8538999557495117,2.970399856567383
canny_edges,4.926799774169922,4.924900054931641,4.915800094604492,4.877899646759033,4.9274001121521
