corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,1.0369999408721924,1.0338000059127808,1.036199927330017,1.0268999338150024,1.0348999500274658
shot_noise,1.0995999574661255,1.0889999866485596,1.0885999202728271,1.072700023651123,1.1103999614715576
impulse_noise,1.3285999298095703,1.2421000003814697,1.3519999980926514,1.2990000247955322,1.3282999992370605
glass_blur,1.2840999364852905,1.2480000257492065,1.250599980354309,1.1821999549865723,1.3075000047683716
motion_blur,1.1934000253677368,1.2173999547958374,1.2394999265670776,1.150499939918518,1.253499984741211
shear,1.1309999227523804,1.1130999326705933,1.114799976348877,1.0964000225067139,1.1324999332427979
scale,1.3756999969482422,1.4438999891281128,1.296199917793274,1.2764999866485596,1.340999960899353
rotate,1.3080999851226807,1.3076000213623047,1.2717000246047974,1.2380999326705933,1.3284999132156372
brightness,1.93559992313385,1.8043999671936035,1.9534999132156372,1.8853999376296997,1.9911999702453613
translate,2.580699920654297,2.569700002670288,2.642199993133545,2.3543999195098877,2.6422998905181885
stripe,2.242300033569336,2.910399913787842,2.2657999992370605,2.490000009536743,2.3889999389648438
fog,2.0302000045776367,1.9990999698638916,2.167099952697754,2.0620999336242676,2.0874998569488525
spatter,1.1029999256134033,1.1243000030517578,1.0910999774932861,1.0911999940872192,1.1186000108718872
dotted_line,1.1168999671936035,1.0858999490737915,1.0971999168395996,1.1024999618530273,1.0981999635696411
zigzag,1.3319000005722046,1.2573999166488647,1.284500002861023,1.2806999683380127,1.3240000009536743
canny_edges,1.9988999366760254,1.8339999914169312,1.7034999132156372,1.7066999673843384,1.7143999338150024
